SKU,GCODE,Category,New Description,NMFC,Treads,Width,Depth,Gauge,Height,Length,Capacity,WEIGHT,Stock,Type
SO630,SO,STAIRS,"STAIRS-OSHA-SPI- 6 TREADSx30""TREAD WIDTH nan",65,,,,,,,,180.0 lbs,,
SO636,SO,STAIRS,"STAIRS-OSHA-SPI- 6 TREADSx36""TREAD WIDTH nan",65,,,,,,,,180.0 lbs,,
SO640,SO,STAIRS,"STAIRS-OSHA-SPI- 6 TREADSx40""TREAD WIDTH nan",65,,,,,,,,40.0 lbs,,
SO648,SO,STAIRS,"STAIRS-OSHA-SPI- 6 TREADSx48""TREAD WIDTH nan",65,,,,,,,,180.0 lbs,,
SO724,SO,STAIRS,"STAIRS-OSHA-SPI- 7 TREADSx24""TREAD WIDTH nan",65,,,,,,,,210.0 lbs,,
SO730,SO,STAIRS,"STAIRS-OSHA-SPI- 7 TREADSx30""TREAD WIDTH nan",65,,,,,,,,210.0 lbs,,
SO736,SO,STAIRS,"STAIRS-OSHA-SPI- 7 TREADSx36""TREAD WIDTH nan",65,,,,,,,,210.0 lbs,,
SO740,SO,STAIRS,"STAIRS-OSHA-SPI- 7 TREADSx40""TREAD WIDTH nan",65,,,,,,,,210.0 lbs,,
SO748,SO,STAIRS,"STAIRS-OSHA-SPI- 7 TREADSx48""TREAD WIDTH nan",65,,,,,,,,210.0 lbs,,
SO824,SO,STAIRS,"STAIRS-OSHA-SPI- 8 TREADSx24""TREAD WIDTH nan",65,,,,,,,,240.0 lbs,,
SO830,SO,STAIRS,"STAIRS-OSHA-SPI- 8 TREADSx30""TREAD WIDTH nan",65,,,,,,,,240.0 lbs,,
SO836,SO,STAIRS,"STAIRS-OSHA-SPI- 8 TREADSx36""TREAD WIDTH nan",65,,,,,,,,240.0 lbs,,
SO840,SO,STAIRS,"STAIRS-OSHA-SPI- 8 TREADSx40""TREAD WIDTH nan",65,,,,,,,,240.0 lbs,,
SO848,SO,STAIRS,"STAIRS-OSHA-SPI- 8 TREADSx48""TREAD WIDTH nan",65,,,,,,,,240.0 lbs,,
SO924,SO,STAIRS,"STAIRS-OSHA-SPI- 9 TREADSx24""TREAD WIDTH nan",65,,,,,,,,270.0 lbs,,
SO930,SO,STAIRS,"STAIRS-OSHA-SPI- 9 TREADSx30""TREAD WIDTH nan",65,,,,,,,,270.0 lbs,,
SO936,SO,STAIRS,"STAIRS-OSHA-SPI- 9 TREADSx36""TREAD WIDTH nan",65,,,,,,,,270.0 lbs,,
SO940,SO,STAIRS,"STAIRS-OSHA-SPI- 9 TREADSx40""TREAD WIDTH nan",65,,,,,,,,270.0 lbs,,
SO948,SO,STAIRS,"STAIRS-OSHA-SPI- 9 TREADSx48""TREAD WIDTH nan",65,,,,,,,,270.0 lbs,,
